Tract,CountyFips,BldgSchemesId,Tract6,TractArea,Length,NumAggrBocks,CenLat,CenLongit,ESRI_OID,Tract_1,f10yr,f20yr,f50yr,f100yr,f200yr,f500yr,f1000yr
37119003106,37119,NC1,003106,2.2369211,31.5753689,56,35.144356000000002,-80.869377999999998,1474,37119003106,36.9000015,48.0000000,62.7000008,71.3000031,78.8000031,89.3000031,96.5000000
37119003203,37119,NC1,003203,1.1267171,14.1312761,13,35.177332999999997,-80.863349999999997,1359,37119003203,36.5999985,47.7999992,62.5999985,71.1999969,78.5999985,88.9000015,96.5999985
37119003204,37119,NC1,003204,2.3215241,29.7187843,29,35.183371999999999,-80.854161000000005,1584,37119003204,36.7000008,47.9000015,62.5999985,71.1999969,78.5999985,88.9000015,96.5999985
37119003400,37119,NC1,003400,2.9584975,44.2760239,89,35.199657000000002,-80.851343999999997,1678,37119003400,36.5999985,47.7999992,62.5000000,71.0999985,78.5999985,88.8000031,96.0999985
37119003500,37119,NC1,003500,1.7389853,28.3432827,54,35.207537000000002,-80.845629000000002,1501,37119003500,36.5999985,47.7999992,62.5000000,71.0999985,78.5999985,88.5999985,95.8000031
37119004500,37119,NC1,004500,3.6069117,51.1260605,82,35.252465999999998,-80.872076000000007,1492,37119004500,36.0000000,47.2000008,62.0999985,70.5000000,78.0999985,88.0999985,95.0999985
37119004800,37119,NC1,004800,3.2615774,72.7972641,107,35.257474999999999,-80.849215000000001,1056,37119004800,36.2000008,47.4000015,62.0999985,70.6999969,78.3000031,88.1999969,94.8000031
37119004900,37119,NC1,004900,0.8818621,19.7530937,22,35.242761000000002,-80.842843999999999,1400,37119004900,36.2999992,47.5000000,62.2999992,70.8000031,78.4000015,88.5000000,95.0999985
37119005000,37119,NC1,005000,0.9980888,19.5790634,31,35.252766000000001,-80.839596000000000,1360,37119005000,36.2999992,47.5000000,62.2999992,70.8000031,78.4000015,88.3000031,95.0999985
37119005200,37119,NC1,005200,3.6457198,50.6184082,88,35.245759000000000,-80.824661000000006,1228,37119005200,36.4000015,47.5999985,62.4000015,70.9000015,78.4000015,88.5999985,95.0000000
37119005301,37119,NC1,005301,5.7514176,54.9433479,61,35.257702999999999,-80.806847000000005,1418,37119005301,36.4000015,47.5999985,62.4000015,70.9000015,78.5999985,88.4000015,95.1999969
